id,name,height,weight,type1,type2,smallImageUrl,largeImageUrl,generation
1,bulbasaur,7,69,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,1
2,ivysaur,10,130,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,1
3,venusaur,20,1000,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,1
4,charmander,6,85,fire,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,1
5,charmeleon,11,190,fire,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,1
6,charizard,17,905,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,1
7,squirtle,5,90,water,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,1
8,wartortle,10,225,water,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,1
9,blastoise,16,855,water,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,1
10,caterpie,3,29,bug,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,1
11,metapod,7,99,bug,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,1
12,butterfree,11,320,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,1
13,weedle,3,32,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,1
14,kakuna,6,100,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,1
15,beedrill,10,295,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,1
16,pidgey,3,18,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,1
17,pidgeotto,11,300,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,1
18,pidgeot,15,395,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,1
19,rattata,3,35,normal,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,1
20,raticate,7,185,normal,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,1
21,spearow,3,20,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,1
22,fearow,12,380,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,1
23,ekans,20,69,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,1
24,arbok,35,650,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,1
25,pikachu,4,60,electric,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,1
26,raichu,8,300,electric,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,1
27,sandshrew,6,120,ground,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,1
28,sandslash,10,295,ground,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,1
29,nidoran-f,4,70,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,1
30,nidorina,8,200,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,1
31,nidoqueen,13,600,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,1
32,nidoran-m,5,90,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,1
33,nidorino,9,195,poison,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,1
34,nidoking,14,620,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,1
35,clefairy,6,75,fairy,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,1
36,clefable,13,400,fairy,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,1
37,vulpix,6,99,fire,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,1
38,ninetales,11,199,fire,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,1
39,jigglypuff,5,55,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,1
40,wigglytuff,10,120,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,1
41,zubat,8,75,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,1
42,golbat,16,550,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,1
43,oddish,5,54,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,1
44,gloom,8,86,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,1
45,vileplume,12,186,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,1
46,paras,3,54,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,1
47,parasect,10,295,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,1
48,venonat,10,300,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,1
49,venomoth,15,125,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,1
50,diglett,2,8,ground,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,1
51,dugtrio,7,333,ground,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,1
52,meowth,4,42,normal,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,1
53,persian,10,320,normal,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,1
54,psyduck,8,196,water,none,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,1
